epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,895.663,0.91778,0.6595,1.18127,0.92491,0.86509,0.94404,0.63135,1.13237,0.61718,1.4358,0.00052975,0.00052975,0.00052975
59,911.193,0.8938,0.64828,1.15731,0.93478,0.90107,0.95312,0.6324,1.22703,0.64818,1.52013,0.0005215,0.0005215,0.0005215
60,927.946,0.90744,0.65529,1.1566,0.93265,0.8807,0.96056,0.64634,1.14069,0.62815,1.43129,0.00051325,0.00051325,0.00051325
61,943.582,0.88666,0.65,1.14533,0.87857,0.87167,0.94766,0.64669,1.12882,0.61661,1.43695,0.000505,0.000505,0.000505
62,959.4,0.87764,0.61349,1.13313,0.91418,0.89117,0.94888,0.64542,1.21585,0.59549,1.5158,0.00049675,0.00049675,0.00049675
63,974.957,0.93963,0.62747,1.16313,0.89548,0.86583,0.95788,0.64609,1.14138,0.60275,1.45792,0.0004885,0.0004885,0.0004885
64,990.618,0.89417,0.64655,1.15507,0.88549,0.8419,0.93232,0.59976,1.18926,0.6348,1.48841,0.00048025,0.00048025,0.00048025
65,1007.29,0.90465,0.63801,1.15607,0.90725,0.95438,0.96951,0.63089,1.18297,0.5836,1.51571,0.000472,0.000472,0.000472
66,1022.99,0.87414,0.61495,1.1474,0.9216,0.87277,0.9361,0.63607,1.1707,0.62101,1.45539,0.00046375,0.00046375,0.00046375
67,1038.67,0.86526,0.60166,1.12553,0.97615,0.89306,0.97998,0.66391,1.18665,0.55963,1.48985,0.0004555,0.0004555,0.0004555
68,1054.09,0.84804,0.59011,1.13428,0.88986,0.84422,0.93474,0.62602,1.2135,0.66374,1.49796,0.00044725,0.00044725,0.00044725
69,1070.57,0.86725,0.59929,1.1441,0.94201,0.90463,0.95421,0.64412,1.20267,0.60129,1.48892,0.000439,0.000439,0.000439
70,1085.96,0.85914,0.58791,1.13342,0.93604,0.84112,0.95527,0.64486,1.21511,0.6192,1.53342,0.00043075,0.00043075,0.00043075
71,1101.15,0.83658,0.59306,1.12897,0.89394,0.9321,0.96787,0.63434,1.2126,0.62056,1.50726,0.0004225,0.0004225,0.0004225
72,1116.16,0.83418,0.58954,1.12813,0.92568,0.84406,0.9287,0.61769,1.18941,0.62916,1.48275,0.00041425,0.00041425,0.00041425
73,1131.46,0.84428,0.57611,1.12609,0.96203,0.85688,0.97046,0.64434,1.17426,0.57057,1.49147,0.000406,0.000406,0.000406
74,1147.26,0.83077,0.57063,1.12526,0.8748,0.90087,0.93939,0.63245,1.19953,0.60179,1.49861,0.00039775,0.00039775,0.00039775
75,1162.94,0.82427,0.57878,1.11794,0.90816,0.89924,0.95775,0.66943,1.12135,0.60225,1.42735,0.0003895,0.0003895,0.0003895
76,1178.01,0.82229,0.56168,1.1005,0.92582,0.87558,0.94797,0.62815,1.18899,0.63549,1.50431,0.00038125,0.00038125,0.00038125
77,1193.26,0.79967,0.55831,1.1058,0.90233,0.8699,0.92374,0.62008,1.24105,0.6315,1.54765,0.000373,0.000373,0.000373
78,1208.42,0.80784,0.54576,1.11029,0.97042,0.84996,0.96125,0.63857,1.18875,0.61059,1.49982,0.00036475,0.00036475,0.00036475
79,1224.25,0.79903,0.52315,1.08766,0.95597,0.90406,0.96996,0.63506,1.21703,0.55215,1.53412,0.0003565,0.0003565,0.0003565
80,1240.03,0.78781,0.5358,1.10603,0.95093,0.89866,0.96842,0.63862,1.20449,0.55558,1.52688,0.00034825,0.00034825,0.00034825
81,1255.54,0.80397,0.54194,1.09012,0.96927,0.90373,0.96737,0.64977,1.12885,0.54591,1.49148,0.00034,0.00034,0.00034
82,1271.01,0.78124,0.53314,1.09588,0.97849,0.92655,0.97025,0.65501,1.16617,0.54909,1.46191,0.00033175,0.00033175,0.00033175
83,1286.35,0.77999,0.5281,1.09067,0.95156,0.91398,0.95733,0.61124,1.25772,0.6177,1.58056,0.0003235,0.0003235,0.0003235
84,1301.57,0.7884,0.53165,1.08144,0.87648,0.92415,0.96075,0.61108,1.23011,0.61924,1.55889,0.00031525,0.00031525,0.00031525
85,1317.81,0.79601,0.55033,1.10467,0.87686,0.91272,0.95843,0.63987,1.18021,0.57633,1.49588,0.000307,0.000307,0.000307
86,1333.19,0.76321,0.51852,1.0808,0.93368,0.86887,0.9506,0.63895,1.17454,0.60015,1.5049,0.00029875,0.00029875,0.00029875
87,1348.81,0.76782,0.52635,1.07753,0.89594,0.89352,0.94192,0.63267,1.19795,0.61322,1.53199,0.0002905,0.0002905,0.0002905
88,1364.16,0.76078,0.51415,1.07115,0.93256,0.84418,0.92845,0.61628,1.25281,0.63379,1.61015,0.00028225,0.00028225,0.00028225
89,1379.96,0.73611,0.5013,1.07471,0.92655,0.89065,0.94441,0.62564,1.20116,0.59416,1.53717,0.000274,0.000274,0.000274
90,1396.02,0.74049,0.48669,1.06946,0.92627,0.85918,0.95575,0.64307,1.20516,0.58712,1.54707,0.00026575,0.00026575,0.00026575
91,1411.24,0.74442,0.49745,1.07132,0.92471,0.85231,0.95242,0.62711,1.17508,0.58517,1.51493,0.0002575,0.0002575,0.0002575
92,1426.49,0.75112,0.49093,1.05683,0.9712,0.90545,0.96748,0.62854,1.18498,0.55685,1.54738,0.00024925,0.00024925,0.00024925
93,1441.94,0.74756,0.49966,1.05975,0.90798,0.91437,0.95338,0.63163,1.19097,0.55669,1.55821,0.000241,0.000241,0.000241
94,1457.35,0.71816,0.47173,1.05518,0.94344,0.8759,0.95276,0.63654,1.18945,0.58941,1.54571,0.00023275,0.00023275,0.00023275
95,1473.6,0.71158,0.46361,1.03924,0.94576,0.88716,0.95808,0.64153,1.18839,0.57765,1.53385,0.0002245,0.0002245,0.0002245
96,1489.16,0.72356,0.47442,1.05456,0.94466,0.9122,0.97122,0.63873,1.17406,0.5513,1.50444,0.00021625,0.00021625,0.00021625
97,1504.56,0.7081,0.45895,1.06064,0.90108,0.89721,0.97176,0.65193,1.16101,0.55341,1.48505,0.000208,0.000208,0.000208
98,1519.91,0.7103,0.47868,1.04697,0.92616,0.93085,0.97882,0.64432,1.15654,0.57094,1.49869,0.00019975,0.00019975,0.00019975
99,1535.8,0.71647,0.47424,1.05898,0.94911,0.89157,0.95013,0.63486,1.18791,0.54366,1.55222,0.0001915,0.0001915,0.0001915
100,1552.15,0.736,0.49583,1.05316,0.90789,0.91554,0.96301,0.64885,1.17593,0.53556,1.52915,0.00018325,0.00018325,0.00018325
101,1567.36,0.70359,0.47121,1.04553,0.9095,0.93018,0.96401,0.63561,1.16066,0.56612,1.51758,0.000175,0.000175,0.000175
102,1582.61,0.69691,0.46982,1.04895,0.95284,0.8969,0.95929,0.65448,1.15211,0.54483,1.52185,0.00016675,0.00016675,0.00016675
