epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1739.82,0.68507,0.44187,1.02931,0.8897,0.91745,0.92975,0.66019,1.14176,0.60593,1.44164,0.000142,0.000142,0.000142
106,1756.13,0.66513,0.45011,1.027,0.91944,0.90118,0.92869,0.65001,1.14194,0.5863,1.44648,0.00013375,0.00013375,0.00013375
107,1772.33,0.66602,0.4352,1.03519,0.92815,0.89331,0.92967,0.66288,1.156,0.57753,1.45949,0.0001255,0.0001255,0.0001255
108,1788.57,0.67793,0.4476,1.0356,0.92602,0.86623,0.92719,0.65722,1.18166,0.56897,1.47586,0.00011725,0.00011725,0.00011725
109,1806.15,0.65525,0.42556,1.02901,0.88886,0.91177,0.92592,0.66605,1.15506,0.56478,1.46161,0.000109,0.000109,0.000109
110,1822.64,0.64929,0.42531,1.02549,0.92219,0.89675,0.93026,0.66662,1.15234,0.55645,1.47344,0.00010075,0.00010075,0.00010075
111,1840.16,0.59673,0.3623,0.98511,0.92067,0.93221,0.94045,0.6624,1.17513,0.5769,1.50395,9.25e-05,9.25e-05,9.25e-05
112,1857.45,0.5543,0.32424,0.9657,0.90162,0.91777,0.93972,0.65614,1.17487,0.56316,1.49163,8.425e-05,8.425e-05,8.425e-05
113,1873.07,0.53845,0.30637,0.95397,0.90052,0.9172,0.92932,0.6516,1.16729,0.5669,1.48359,7.6e-05,7.6e-05,7.6e-05
114,1888.75,0.53856,0.31198,0.94234,0.92379,0.90671,0.93148,0.64395,1.18694,0.61149,1.51082,6.775e-05,6.775e-05,6.775e-05
115,1904.5,0.5334,0.30121,0.93524,0.91718,0.90998,0.93819,0.6483,1.18373,0.59515,1.52031,5.95e-05,5.95e-05,5.95e-05
116,1921.21,0.5356,0.31134,0.94367,0.93124,0.89953,0.93097,0.64989,1.16493,0.59739,1.50139,5.125e-05,5.125e-05,5.125e-05
117,1936.93,0.51102,0.30134,0.93288,0.93186,0.91008,0.93444,0.64596,1.16493,0.58071,1.49823,4.3e-05,4.3e-05,4.3e-05
118,1952.51,0.50304,0.29199,0.92236,0.89333,0.92832,0.92772,0.64532,1.16321,0.58211,1.49681,3.475e-05,3.475e-05,3.475e-05
119,1967.85,0.51617,0.29959,0.93576,0.89869,0.91988,0.93057,0.64912,1.16736,0.57359,1.49786,2.65e-05,2.65e-05,2.65e-05
120,1983.51,0.50405,0.29294,0.92873,0.92165,0.89755,0.93537,0.65578,1.16345,0.57315,1.49564,1.825e-05,1.825e-05,1.825e-05
